time_stamp,percentage_left,battery_capacity_left
0.0037407875061035156,100.0,100.0
0.5043442249298096,100.0,100.0
1.0127737522125244,100.0,100.0
1.5130548477172852,100.0,100.0
2.0141208171844482,100.0,100.0
2.5168299674987793,99.99789516387814,99.99789516387814
3.0180108547210693,99.99166286534809,99.99166286534809
3.5253727436065674,99.9811046096401,99.9811046096401
4.027678728103638,99.96644657126427,99.96644657126427
4.529787302017212,99.94761236791133,99.94761236791133
5.02981424331665,99.92458542311157,99.92458542311157
5.530065536499023,99.8974208147609,99.8974208147609
6.033667325973511,99.86589572835543,99.86589572835543
6.533937454223633,99.8303098537176,99.8303098537176
7.034900903701782,99.79052627767827,99.79052627767827
7.545026063919067,99.74575448089728,99.74575448089728
8.059247255325317,99.69628217221326,99.69628217221326
8.561663150787354,99.64364372617216,99.64364372617216
9.063941955566406,99.58682478757393,99.58682478757393
9.564160823822021,99.5261496744816,99.5261496744816
10.071496963500977,99.4602546618575,99.4602546618575
10.571499824523926,99.39104823488127,99.39104823488127
11.088595628738403,99.31523500799457,99.31523500799457
11.588754415512085,99.23766899904861,99.23766899904861
12.088850498199463,99.15594111131125,99.15594111131125
12.592105627059937,99.06963785109721,99.06963785109721
13.103639364242554,98.97741492522788,98.97741492522788
13.606660842895508,98.8822740510297,98.8822740510297
14.107733249664307,98.78337770342955,98.78337770342955
14.617473602294922,98.67852858733089,98.67852858733089
15.11756682395935,98.57155388495632,98.57155388495632
15.61829686164856,98.46034939792435,98.46034939792435
16.120450973510742,98.34447706500009,98.34447706500009
16.621469736099243,98.22461825883131,98.22461825883131
17.121497869491577,98.1008678192908,98.1008678192908
17.623697519302368,97.97240380967898,97.97240380967898
18.12376570701599,97.84029067776652,97.84029067776652
18.627745151519775,97.70282369637097,97.70282369637097
19.127880096435547,97.5622417887687,97.5622417887687
19.627899408340454,97.41758420666845,97.41758420666845
20.12794828414917,97.26908292443589,97.26908292443589
20.629001140594482,97.1161997799764,97.1161997799764
21.131836891174316,96.95837568302407,96.95837568302407
21.632213830947876,96.79699751561573,96.79699751561573
22.133614540100098,96.63096016318984,96.63096016318984
22.63880753517151,96.45952433609091,96.45952433609091
23.142895698547363,96.28445187579855,96.28445187579855
23.64294409751892,96.10681109187792,96.10681109187792
24.145445823669434,95.92385485307237,95.92385485307237
24.645638704299927,95.73729580398552,95.73729580398552
25.146024227142334,95.54654433750201,95.54654433750201
25.647180557250977,95.35133825223221,95.35133825223221
26.159745454788208,95.14743407451273,95.14743407451273
26.66123604774475,94.9436821435034,94.9436821435034
27.175747632980347,94.73016382397937,94.73016382397937
27.683489322662354,94.51544918773716,94.51544918773716
28.184051275253296,94.29949918624085,94.29949918624085
28.686707258224487,94.07814323959167,94.07814323959167
29.186835050582886,93.85375108518151,93.85375108518151
29.689340591430664,93.62406265272081,93.62406265272081
30.1894850730896,93.39126039324083,93.39126039324083
30.689486026763916,93.15483337073908,93.15483337073908
31.191365957260132,92.91334401181555,92.91334401181555
31.691407680511475,92.6680733396197,92.6680733396197
32.200695514678955,92.41408297695023,92.41408297695023
32.701128005981445,92.16046192235615,92.16046192235615
33.21158766746521,91.89739396323175,91.89739396323175
33.71259379386902,91.63481387296731,91.63481387296731
34.21300983428955,91.36846102726159,91.36846102726159
34.71327471733093,91.09801330394063,91.09801330394063
35.213281869888306,90.82343828660123,90.82343828660123
35.72719192504883,90.53696610888301,90.53696610888301
36.23213315010071,90.25126630988134,90.25126630988134
36.736266136169434,89.96177779465694,89.96177779465694
37.23961091041565,89.66847392777632,89.66847392777632
37.73983573913574,89.3730378497928,89.3730378497928
38.24102544784546,89.07280561069594,89.07280561069594
38.74320125579834,88.76746764402024,88.76746764402024
39.24521994590759,88.4579959099944,88.4579959099944
39.74756383895874,88.14416022479575,88.14416022479575
40.247802734375,87.82746654850558,87.82746654850558
40.74822688102722,87.50643312154287,87.50643312154287
41.248494386672974,87.18142020140002,87.18142020140002
41.748589515686035,86.852378316468,86.852378316468
42.248647689819336,86.51913267207088,86.51913267207088
42.74952578544617,86.18120307235861,86.18120307235861
43.262359619140625,85.83092051468269,85.83092051468269
43.76370024681091,85.48428048468668,85.48428048468668
44.26395845413208,85.13415034176829,85.13415034176829
44.786956787109375,84.7636272152294,84.7636272152294
45.28699469566345,84.40512727655837,84.40512727655837
45.787012338638306,84.04246859602628,84.04246859602628
46.29817247390747,83.66745146173827,83.66745146173827
46.80431938171387,83.29186705717073,83.29186705717073
47.30448842048645,82.91646576205359,82.91646576205359
47.80763387680054,82.53453302357057,82.53453302357057
48.3077871799469,82.15068727218107,82.15068727218107
48.807806730270386,81.76274851237369,81.76274851237369
49.31572151184082,81.36452282204887,81.36452282204887
49.81616950035095,80.96800285194628,80.96800285194628
50.31629204750061,80.56749547697605,80.56749547697605
50.817097902297974,80.16235071647895,80.16235071647895
51.31755518913269,79.75328226247673,79.75328226247673
51.82294750213623,79.33580392520783,79.33580392520783
52.32844567298889,78.91660708536877,78.91660708536877
52.83084797859192,78.50249379602958,78.50249379602958
53.33275294303894,78.0930545608662,78.0930545608662
53.83336925506592,77.68889850490976,77.68889850490976
54.335057735443115,77.28804536355653,77.28804536355653
54.83574867248535,76.8922683286384,76.8922683286384
55.33961009979248,76.49822607865048,76.49822607865048
55.84368681907654,76.10809680604928,76.10809680604928
56.347275733947754,75.72256443675785,75.72256443675785
56.84734773635864,75.34402647518503,75.34402647518503
57.348432302474976,74.96890462333882,74.96890462333882
57.848729848861694,74.59853409483273,74.59853409483273
58.3489351272583,74.23242859035732,74.23242859035732
