time_stamp,percentage_left,battery_capacity_left
0.0036649703979492188,100.0,100.0
0.5051774978637695,100.0,100.0
1.0076370239257812,100.0,100.0
1.5077993869781494,100.0,100.0
2.0510611534118652,100.0,100.0
2.5536611080169678,99.99632203916417,99.99632203916417
3.0569581985473633,99.98579712106557,99.98579712106557
3.5592448711395264,99.96869500864493,99.96869500864493
4.059345245361328,99.9442389805583,99.9442389805583
4.559418201446533,99.91260136028069,99.91260136028069
5.067907810211182,99.8733969140723,99.8733969140723
5.578719615936279,99.82665911497438,99.82665911497438
6.086607217788696,99.77296753338987,99.77296753338987
6.587948560714722,99.71281250550489,99.71281250550489
7.089115142822266,99.64568075485755,99.64568075485755
7.589205503463745,99.57173333247805,99.57173333247805
8.090723752975464,99.49070359851325,99.49070359851325
8.598604440689087,99.40159282252043,99.40159282252043
9.104803562164307,99.30558127946352,99.30558127946352
9.6048903465271,99.20365953327418,99.20365953327418
10.104933023452759,99.09476915650062,99.09476915650062
10.63707709312439,98.97180459567346,98.97180459567346
11.147668600082397,98.84648108547913,98.84648108547913
11.649338483810425,98.7158126774631,98.7158126774631
12.149549722671509,98.57866119946819,98.57866119946819
12.649643421173096,98.43481470547279,98.43481470547279
13.15026307106018,98.28376606706414,98.28376606706414
13.650415182113647,98.12568588185194,98.12568588185194
14.152154445648193,97.96004107679346,97.96004107679346
14.654838800430298,97.78702969361272,97.78702969361272
15.164230346679688,97.60462600693695,97.60462600693695
15.664290428161621,97.41855161385597,97.41855161385597
16.16433334350586,97.22545976466893,97.22545976466893
16.66545557975769,97.02507432659914,97.02507432659914
17.165528535842896,96.81817072803555,96.81817072803555
17.665943145751953,96.60414902095552,96.60414902095552
18.166693210601807,96.38294359120484,96.38294359120484
18.69659447669983,96.14129383913259,96.14129383913259
19.19659924507141,95.90628675806796,95.90628675806796
19.701836585998535,95.66184295234747,95.66184295234747
20.206178188323975,95.41074017035241,95.41074017035241
20.707932710647583,95.15402033526844,95.15402033526844
21.218682527542114,94.88569644341237,94.88569644341237
21.735950708389282,94.60667197916847,94.60667197916847
22.23603081703186,94.32977027960818,94.32977027960818
22.741551637649536,94.04271418900292,94.04271418900292
23.242963552474976,93.7509563380757,93.7509563380757
23.743030548095703,93.45270398808219,93.45270398808219
24.251784563064575,93.14223484683485,93.14223484683485
24.75887179374695,92.8256846345838,92.8256846345838
25.28458595275879,92.49005506510716,92.49005506510716
25.786176204681396,92.16293916601393,92.16293916601393
26.303380727767944,91.81817970407738,91.81817970407738
26.803429126739502,91.47751973078644,91.47751973078644
27.30347204208374,91.12980275777116,91.12980275777116
27.8062584400177,90.77319389961716,90.77319389961716
28.311582565307617,90.40771736123779,90.40771736123779
28.811725854873657,90.03909380237049,90.03909380237049
29.3120219707489,89.66348029128869,89.66348029128869
29.818259716033936,89.27624029388525,89.27624029388525
30.32580304145813,88.8808423300068,88.8808423300068
30.833159685134888,88.47851250133652,88.47851250133652
31.333236932754517,88.07492376682438,88.07492376682438
31.835132598876953,87.663106966178,87.663106966178
32.34316658973694,87.24134306004393,87.24134306004393
32.849024534225464,86.81979616374521,86.81979616374521
33.352535009384155,86.40020509452371,86.40020509452371
33.85258722305298,85.9834959098771,85.9834959098771
34.36269569396973,85.55840651085722,85.55840651085722
34.86276316642761,85.14168461055307,85.14168461055307
35.37007403373718,84.71892654787251,84.71892654787251
35.87011981010437,84.30222292632608,84.30222292632608
36.37508416175842,83.88141989599416,83.88141989599416
36.875834703445435,83.46413353970398,83.46413353970398
37.381183385849,83.04301381002614,83.04301381002614
37.88122034072876,82.62631773840138,82.62631773840138
38.39067077636719,82.20177630474915,82.20177630474915
38.891775369644165,81.7841903357779,81.7841903357779
39.40217566490173,81.35885794848949,81.35885794848949
39.90303659439087,80.94147503267477,80.94147503267477
40.40517258644104,80.52302956472586,80.52302956472586
40.905232429504395,80.10631441961478,80.10631441961478
41.40533971786499,79.68955914070955,79.68955914070955
41.90536546707153,79.27287260582796,79.27287260582796
42.408329010009766,78.85373731345685,78.85373731345685
42.90856671333313,78.43687395146242,78.43687395146242
43.408607721328735,78.02017350883038,78.02017350883038
43.90898418426514,77.6031937190965,77.6031937190965
44.40905213356018,77.18647142142804,77.18647142142804
44.910725593566895,76.76841099948437,76.76841099948437
45.414639711380005,76.34848395874849,76.34848395874849
45.91470122337341,75.93176742286236,75.93176742286236
46.41513681411743,75.51473835995546,75.51473835995546
46.91642498970032,75.09699940572928,75.09699940572928
47.41727018356323,74.67962940425426,74.67962940425426
47.92131471633911,74.25959328701843,74.25959328701843
48.42382502555847,73.84083628545949,73.84083628545949
48.946593284606934,73.40519765904297,73.40519765904297
49.44661498069763,72.98851390571147,72.98851390571147
49.96417021751404,72.55721906712402,72.55721906712402
50.46495985984802,72.13989595463623,72.13989595463623
50.96962118148804,71.71934604536244,71.71934604536244
51.46978759765625,71.30254228801279,71.30254228801279
51.969836711883545,70.88583568623412,70.88583568623412
52.47424650192261,70.46549479058135,70.46549479058135
52.980124711990356,70.04393478126077,70.04393478126077
53.489856243133545,69.61915989608316,69.61915989608316
53.989954233169556,69.20241276314604,69.20241276314604
54.48999881744385,68.78571013501036,68.78571013501036
54.99002718925476,68.36902081857868,68.36902081857868
55.498658895492554,67.94516165942696,67.94516165942696
55.99878907203674,67.528388101764,67.528388101764
56.50261998176575,67.1085296063696,67.1085296063696
57.01074838638306,66.6850904612814,66.6850904612814
57.5115692615509,66.26774132143206,66.26774132143206
58.0119833946228,65.85073510697232,65.85073510697232
58.51472067832947,65.43178836396085,65.43178836396085
